team_name,evaluation_type,total_samples,sta_mean,cs_mean,fs_mean,j_score_mean,sta_std,cs_std,fs_std,j_score_std,perfect_scores,zero_scores,file_path
mkrisnai,zero_shot_qwen,100,0.675,0.84,0.985,0.51,0.3916747259003201,0.23441308613107534,0.08572330399888263,0.3293703819180597,23,19,LLMEvolution/mkrisnai_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team NLPunks,zero_shot_qwen,100,0.775,0.735,0.985,0.5075,0.35798961668820184,0.26068092652617575,0.08572330399888266,0.28305467580478066,17,14,LLMEvolution/Team NLPunks_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team cake,zero_shot_qwen,100,0.84,0.665,0.89,0.455,0.3005046260925618,0.2567768358601364,0.20816659994661327,0.23403573930647267,9,9,LLMEvolution/Team cake_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team_SINAI,zero_shot_qwen,100,0.805,0.675,0.905,0.45125,0.3169854854402611,0.27866021451135636,0.20955701232395305,0.24418424799666535,9,12,LLMEvolution/Team_SINAI_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
gleb.shnshn,zero_shot_qwen,100,0.725,0.71,0.935,0.44125,0.3718300361153947,0.29456353604558183,0.19662557351884866,0.3017494236058533,14,20,LLMEvolution/gleb.shnshn_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
SomethingAwful,zero_shot_qwen,100,0.705,0.68,0.93,0.4375,0.356009022698055,0.37281349089041693,0.17436754400988855,0.33214751195360426,17,27,LLMEvolution/SomethingAwful_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
erehulka,zero_shot_qwen,100,0.675,0.735,0.89,0.4225,0.3508647326336185,0.3052983306653849,0.21996326598738797,0.26219017309709924,9,16,LLMEvolution/erehulka_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team Iron Autobots,zero_shot_qwen,100,0.84,0.55,0.805,0.4025,0.3005046260925618,0.31382295723042397,0.3545875395897651,0.2674349727437768,8,20,LLMEvolution/Team Iron Autobots_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
ZhongyuLuo,zero_shot_qwen,100,0.73,0.555,0.84,0.35125,0.3439227068438899,0.2833333333333334,0.27413776673693674,0.2603264995417031,6,21,LLMEvolution/ZhongyuLuo_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
delete_baseline,zero_shot_qwen,100,0.585,0.665,0.825,0.2775,0.38960612070773387,0.2847557876248674,0.29623052721238113,0.24527092832789682,3,30,LLMEvolution/delete_baseline_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
VitalyProtasov,zero_shot_qwen,100,0.625,0.59,0.735,0.27375,0.3435921354681384,0.31285585799020593,0.3367626625816629,0.22451898639653003,1,27,LLMEvolution/VitalyProtasov_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
nikita.sushko,zero_shot_qwen,100,0.625,0.575,0.735,0.26625,0.3435921354681384,0.3207865963596989,0.3514400389968409,0.22659019989149728,1,29,LLMEvolution/nikita.sushko_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
mt5_baseline,zero_shot_qwen,100,0.445,0.64,0.77,0.21125,0.36855573979159967,0.3698211415910085,0.36528665926138526,0.2578900155124469,3,50,LLMEvolution/mt5_baseline_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team nlp_enjoyers,zero_shot_qwen,100,0.445,0.63,0.745,0.2,0.3753449591826675,0.3734902267730034,0.3924476417500193,0.25623537159526916,3,52,LLMEvolution/Team nlp_enjoyers_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
backtranslation_baseline,zero_shot_qwen,100,0.685,0.295,0.65,0.1325,0.3382590603652649,0.3340522550304205,0.2886751345948129,0.18954690792263085,0,60,LLMEvolution/backtranslation_baseline_zh/etd_zero_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
