team_name,human_rank,human_score,machine_rank,machine_score,llm_rank,llm_score,human_machine_diff,human_llm_diff,machine_llm_diff
Team cake,1,0.91,10,0.468,4,0.885,9,3,-6
Team MarSan_AI,2,0.89,7,0.504,9,0.7825,5,7,2
mkrisnai,3,0.89,9,0.475,3,0.895,6,0,-6
erehulka,4,0.88,2,0.543,2,0.9275,-2,-2,0
SomethingAwful,5,0.86,4,0.522,1,0.935,-1,-4,-3
Team_SINAI,6,0.85,15,0.413,6,0.83,9,0,-9
Team NLPunks,7,0.84,8,0.489,5,0.8375,1,-2,-3
Team Iron Autobots,8,0.74,16,0.345,7,0.8225,8,-1,-9
gleb.shnshn,9,0.74,11,0.462,8,0.8175,2,-1,-3
ZhongyuLuo,10,0.73,6,0.506,13,0.7025,-4,3,7
backtranslation_baseline,11,0.73,5,0.506,14,0.69,-6,3,9
nikita.sushko,12,0.7,1,0.553,12,0.71375,-11,0,11
VitalyProtasov,13,0.69,3,0.531,11,0.72,-10,-2,8
mt5_baseline,14,0.68,13,0.418,16,0.57625,-1,2,3
dkenco,15,0.68,17,0.183,10,0.725,2,-5,-7
Team nlp_enjoyers,16,0.67,14,0.418,15,0.59,-2,-1,1
delete_baseline,17,0.47,12,0.447,17,0.36375,-5,0,5
