team_name,human_rank,human_score,machine_rank,machine_score,llm_rank,llm_score,human_machine_diff,human_llm_diff,machine_llm_diff
Team cake,1,0.91,9,0.468,1,0.4025,8,0,-8
mkrisnai,2,0.89,8,0.475,4,0.36125,6,2,-4
erehulka,3,0.88,2,0.543,7,0.31,-1,4,5
SomethingAwful,4,0.86,4,0.522,5,0.34,0,1,1
Team_SINAI,5,0.85,14,0.413,2,0.395,9,-3,-12
Team NLPunks,6,0.84,7,0.489,3,0.365,1,-3,-4
Team Iron Autobots,7,0.74,15,0.345,6,0.32375,8,-1,-9
gleb.shnshn,8,0.74,10,0.462,8,0.28375,2,0,-2
ZhongyuLuo,9,0.73,5,0.506,9,0.24125,-4,0,4
backtranslation_baseline,10,0.73,6,0.506,15,0.07375,-4,5,9
nikita.sushko,11,0.7,1,0.553,11,0.1275,-10,0,10
VitalyProtasov,12,0.69,3,0.531,12,0.12625,-9,0,9
mt5_baseline,13,0.68,12,0.418,14,0.09,-1,1,2
Team nlp_enjoyers,14,0.67,13,0.418,13,0.0925,-1,-1,0
delete_baseline,15,0.47,11,0.447,10,0.14625,-4,-5,-1
