team_name,evaluation_type,total_samples,sta_mean,cs_mean,fs_mean,j_score_mean,sta_std,cs_std,fs_std,j_score_std,perfect_scores,zero_scores,file_path
Team cake,zero_shot_deepseek,100,0.825,0.88,1.0,0.7325,0.3128154973039785,0.21461734799546392,0.0,0.34680176563343024,59,8,llm_evolution/Team cake_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
SomethingAwful,zero_shot_deepseek,100,0.735,0.715,0.875,0.4975,0.3655285366576885,0.38438590667781414,0.2875795893348834,0.3992496118035088,32,29,llm_evolution/SomethingAwful_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
Team_SINAI,zero_shot_deepseek,100,0.72,0.665,0.88,0.4375,0.37819347301388356,0.31825756674096345,0.24741083487212362,0.35198750264775314,21,25,llm_evolution/Team_SINAI_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
erehulka,zero_shot_deepseek,100,0.68,0.73,0.81,0.4375,0.35901098714230034,0.3289100457295553,0.291114195372666,0.35644321802605206,22,23,llm_evolution/erehulka_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
mkrisnai,zero_shot_deepseek,100,0.51,0.865,0.99,0.3975,0.4604565147983054,0.23414361473939949,0.07035264706814483,0.3990123539263648,24,42,llm_evolution/mkrisnai_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
Team Iron Autobots,zero_shot_deepseek,100,0.775,0.55,0.77,0.375,0.3649754384983608,0.337099931231621,0.35830690529745357,0.3276022471278735,14,29,llm_evolution/Team Iron Autobots_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
Team NLPunks,zero_shot_deepseek,100,0.62,0.67,0.97,0.36625,0.43298354180586063,0.28621528945741515,0.11934162828797101,0.34001587529782407,15,33,llm_evolution/Team NLPunks_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
ZhongyuLuo,zero_shot_deepseek,100,0.745,0.55,0.765,0.3525,0.3726441148919923,0.3517632353407242,0.35144003899684084,0.3694368496219426,19,36,llm_evolution/ZhongyuLuo_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
gleb.shnshn,zero_shot_deepseek,100,0.585,0.67,0.82,0.30375,0.44977547709716204,0.3195640970466052,0.3139838508360877,0.3541131866930388,15,44,llm_evolution/gleb.shnshn_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
nikita.sushko,zero_shot_deepseek,100,0.635,0.58,0.58,0.21625,0.3750757499250227,0.2991570649256832,0.3461184476418149,0.23826961958286164,4,35,llm_evolution/nikita.sushko_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
delete_baseline,zero_shot_deepseek,100,0.625,0.615,0.585,0.20625,0.42268382528979764,0.29176405300561387,0.38960612070773387,0.2731543898733292,6,48,llm_evolution/delete_baseline_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
VitalyProtasov,zero_shot_deepseek,100,0.645,0.555,0.505,0.19875,0.37802650754152206,0.29211005259710393,0.37936017373222175,0.2544397440128671,5,46,llm_evolution/VitalyProtasov_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
mt5_baseline,zero_shot_deepseek,100,0.42,0.645,0.56,0.16,0.42473996798516667,0.3712863252983274,0.4339156925980303,0.28652392499747664,7,67,llm_evolution/mt5_baseline_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
Team nlp_enjoyers,zero_shot_deepseek,100,0.42,0.595,0.51,0.1275,0.4306443375391641,0.3671828322828184,0.4436988695823857,0.26589614058078687,6,73,llm_evolution/Team nlp_enjoyers_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
backtranslation_baseline,zero_shot_deepseek,100,0.75,0.22,0.53,0.1175,0.3588702812826367,0.2870962250261094,0.38807996676723805,0.19366546705934212,0,68,llm_evolution/backtranslation_baseline_zh/deepseek/etd_zero_shot_results_zh_ZHPrompt_deepseek.csv
