team_name,human_rank,human_score,machine_rank,machine_score,llm_original_rank,llm_original_score,llm_qwen_rank,llm_qwen_score
Team cake,1,0.84,13,0.086,8,0.4175,3,0.455
erehulka,2,0.68,4,0.16,6,0.5325,7,0.4225
Team NLPunks,3,0.6,6,0.15,7,0.4275,2,0.5075
ZhongyuLuo,4,0.56,14,0.052,11,0.235,9,0.35125
SomethingAwful,5,0.53,7,0.147,3,0.6775,6,0.4375
Team Iron Autobots,6,0.53,9,0.124,1,0.74125,8,0.4025
VitalyProtasov,7,0.49,2,0.175,5,0.55375,11,0.27375
nikita.sushko,8,0.47,1,0.176,13,0.145,12,0.26625
delete_baseline,9,0.43,3,0.175,12,0.16,10,0.2775
mt5_baseline,10,0.43,12,0.096,14,0.10875,13,0.21125
gleb.shnshn,11,0.41,5,0.155,4,0.65,5,0.44125
mkrisnai,12,0.34,10,0.109,9,0.27875,1,0.51
backtranslation_baseline,13,0.34,15,0.027,15,0.10625,15,0.1325
Team_SINAI,14,0.33,8,0.126,2,0.69125,4,0.45125
Team nlp_enjoyers,15,0.23,11,0.104,10,0.2525,14,0.2
