team_name,human_rank,human_score,machine_rank,machine_score,llm_rank,llm_score
Team cake,1,0.84,13,0.086,8,0.4175
erehulka,2,0.68,4,0.16,6,0.5325
Team NLPunks,3,0.6,6,0.15,7,0.4275
ZhongyuLuo,4,0.56,14,0.052,11,0.235
SomethingAwful,5,0.53,7,0.147,3,0.6775
Team Iron Autobots,6,0.53,9,0.124,1,0.74125
VitalyProtasov,7,0.49,2,0.175,5,0.55375
nikita.sushko,8,0.47,1,0.176,13,0.145
delete_baseline,9,0.43,3,0.175,12,0.16
mt5_baseline,10,0.43,12,0.096,14,0.10875
gleb.shnshn,11,0.41,5,0.155,4,0.65
mkrisnai,12,0.34,10,0.109,9,0.27875
backtranslation_baseline,13,0.34,15,0.027,15,0.10625
Team_SINAI,14,0.33,8,0.126,2,0.69125
Team nlp_enjoyers,15,0.23,11,0.104,10,0.2525
