team_name,evaluation_type,total_samples,sta_mean,cs_mean,fs_mean,j_score_mean,sta_std,cs_std,fs_std,j_score_std,perfect_scores,zero_scores,file_path
Team cake,few_shot_qwen,100,0.765,0.685,0.815,0.4025,0.3655285366576885,0.27205725778804635,0.24261829354695488,0.2767164066277417,11,15,llm_evolution/Team cake_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team_SINAI,few_shot_qwen,100,0.775,0.62,0.825,0.395,0.3649754384983608,0.3107501513525884,0.2875795893348834,0.27045136234439526,8,21,llm_evolution/Team_SINAI_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team NLPunks,few_shot_qwen,100,0.64,0.725,0.94,0.365,0.4327501903786147,0.2875795893348834,0.16329931618554522,0.2851988496442155,7,31,llm_evolution/Team NLPunks_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
mkrisnai,few_shot_qwen,100,0.57,0.79,0.94,0.36125,0.4661252270288825,0.28586215509782287,0.16329931618554522,0.363195953315907,17,40,llm_evolution/mkrisnai_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
SomethingAwful,few_shot_qwen,100,0.535,0.655,0.825,0.34,0.427908939619238,0.3872657323786181,0.3128154973039785,0.32082595426382343,10,40,llm_evolution/SomethingAwful_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team Iron Autobots,few_shot_qwen,100,0.675,0.5,0.725,0.32375,0.4286165199944132,0.3178208630818641,0.37856053783784815,0.2781471660103621,6,31,llm_evolution/Team Iron Autobots_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
erehulka,few_shot_qwen,100,0.575,0.67,0.77,0.31,0.4286165199944132,0.33499585403736304,0.29661388703126823,0.2970180078205646,8,36,llm_evolution/erehulka_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
gleb.shnshn,few_shot_qwen,100,0.575,0.655,0.84,0.28375,0.4459412925079224,0.3459360015547922,0.3168659659919955,0.2869505069421266,5,44,llm_evolution/gleb.shnshn_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
ZhongyuLuo,few_shot_qwen,100,0.64,0.47,0.655,0.24125,0.4148749355181778,0.3319668962442192,0.3739969750863466,0.2725064868100122,5,43,llm_evolution/ZhongyuLuo_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
delete_baseline,few_shot_qwen,100,0.45,0.545,0.625,0.14625,0.46329954095214115,0.41496622717634474,0.43446821087695964,0.2330456830838975,1,69,llm_evolution/delete_baseline_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
nikita.sushko,few_shot_qwen,100,0.48,0.455,0.525,0.1275,0.4546060565661952,0.4088354982709606,0.4286165199944132,0.2079390207816617,0,70,llm_evolution/nikita.sushko_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
VitalyProtasov,few_shot_qwen,100,0.48,0.445,0.545,0.12625,0.44901688344221713,0.4198063526643847,0.426963675033345,0.21133817865585897,0,72,llm_evolution/VitalyProtasov_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
Team nlp_enjoyers,few_shot_qwen,100,0.305,0.44,0.455,0.0925,0.38201353828672546,0.4510369645986274,0.47191314900309805,0.20918009735945992,2,80,llm_evolution/Team nlp_enjoyers_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
mt5_baseline,few_shot_qwen,100,0.28,0.485,0.51,0.09,0.36459469679260686,0.45201568757973626,0.4712973712224715,0.2087722648865471,2,81,llm_evolution/mt5_baseline_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
backtranslation_baseline,few_shot_qwen,100,0.6,0.175,0.43,0.07375,0.41438770700537414,0.2962305272123811,0.3334848140652303,0.14768307419620033,0,77,llm_evolution/backtranslation_baseline_zh/etd_few_shot_results_zh_ZHPrompt_qwen-plus-latest.csv
