team_name,evaluation_type,total_samples,sta_mean,cs_mean,fs_mean,j_score_mean,sta_std,cs_std,fs_std,j_score_std,perfect_scores,zero_scores,file_path
Team cake,few_shot_deepseek,100,0.92,0.92,0.995,0.8625,0.26323550158162423,0.18422647458873534,0.049999999999999996,0.2959640129639024,80,7,llm_evolution/Team cake_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
Team_SINAI,few_shot_deepseek,100,0.77,0.61,0.855,0.46875,0.37886059908012804,0.36639108100829126,0.3039720215726933,0.396629979841528,29,31,llm_evolution/Team_SINAI_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
erehulka,few_shot_deepseek,100,0.685,0.695,0.82,0.4575,0.3998421405676712,0.3248542796859894,0.27997113848366295,0.37107372188112037,25,27,llm_evolution/erehulka_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
SomethingAwful,few_shot_deepseek,100,0.67,0.665,0.835,0.43375,0.4277023415055065,0.3830697380927189,0.33374973990834644,0.4018011060062911,27,36,llm_evolution/SomethingAwful_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
mkrisnai,few_shot_deepseek,100,0.56,0.81,0.97,0.3975,0.4782121586564573,0.2996631105057474,0.13889898953170715,0.4190763653560053,27,46,llm_evolution/mkrisnai_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
Team Iron Autobots,few_shot_deepseek,100,0.705,0.51,0.76,0.34,0.4210076896536152,0.33318178373089513,0.3657012082798931,0.3098142160793279,10,33,llm_evolution/Team Iron Autobots_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
gleb.shnshn,few_shot_deepseek,100,0.605,0.63,0.82,0.335,0.4676126775030979,0.33799766898963113,0.3296769156111308,0.36405752126261426,16,45,llm_evolution/gleb.shnshn_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
Team NLPunks,few_shot_deepseek,100,0.61,0.63,0.945,0.33,0.46373538257340796,0.29831174799175947,0.15723301886761007,0.3273709168080102,11,41,llm_evolution/Team NLPunks_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
ZhongyuLuo,few_shot_deepseek,100,0.705,0.45,0.73,0.305,0.40883549827096066,0.37939345531966406,0.37886059908012804,0.35190678288203514,14,46,llm_evolution/ZhongyuLuo_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
delete_baseline,few_shot_deepseek,100,0.605,0.555,0.565,0.205,0.43978300434315437,0.30891632027021965,0.4061086583960534,0.2534608929251695,4,48,llm_evolution/delete_baseline_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
VitalyProtasov,few_shot_deepseek,100,0.615,0.535,0.53,0.19625,0.43143523689699204,0.34270905291441445,0.39453335176707893,0.28049773131475997,7,51,llm_evolution/VitalyProtasov_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
nikita.sushko,few_shot_deepseek,100,0.635,0.55,0.535,0.19375,0.43724920661662575,0.3138229572304239,0.3777592092881657,0.23662118107501143,3,48,llm_evolution/nikita.sushko_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
mt5_baseline,few_shot_deepseek,100,0.39,0.58,0.535,0.16125,0.45825756949558405,0.4187523556393867,0.43955326265092237,0.31397128399221025,10,71,llm_evolution/mt5_baseline_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
Team nlp_enjoyers,few_shot_deepseek,100,0.365,0.565,0.445,0.1275,0.4372492066166257,0.3998421405676712,0.4654475417718028,0.2729260639140871,6,76,llm_evolution/Team nlp_enjoyers_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
backtranslation_baseline,few_shot_deepseek,100,0.69,0.195,0.495,0.10875,0.41304486512491667,0.29211005259710393,0.423400137892841,0.19836372952714718,1,72,llm_evolution/backtranslation_baseline_zh/deepseek/etd_few_shot_results_zh_ZHPrompt_deepseek.csv
