Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score	j_score	Fluency_score
3026	any of us who did half this shit would be locked the fuck up already .	any of us who did half of these actions would likely be incarcerated already.	en				0.8523091077804565	0.99938774		0.5655225788552058
3030	are they liars or just clueless ?	are they dishonest or simply unaware?	en				0.9138637781143188	0.9978661		0.45862504753679917
3034	as someone from la and an oilfield worker , i still say this guy is a piece of shit .	as someone from LA and an oilfield worker, I still say this guy is despicable.	en				0.9019614458084106	0.9930849		0.6345679357112337
3042	calm the fuck down , cnn .	please calm down, CNN.	en				0.822528064250946	0.9995191		0.7393839537522442
3044	china and russia will use a big stick to smack trump around if those ships do anything foolish .	China and Russia will respond firmly to any reckless actions by those ships.	en				0.7090651392936707	0.9995704		0.38331549857167374
3047	cretins like this rarely care about facts .	people with such behavior rarely care about facts.	en				0.7547398805618286	0.99948907		0.6378541444664722
3056	do people actually believe this shit ? ? ?	do people actually believe this?	en				0.9161300659179688	0.9995639		0.8295793965330658
3062	dont you ever change one of my edits , or i will come to your house , and i will cut you .	do not ever alter one of my edits, or there will be serious consequences.	en				0.6785752773284912	0.9997336		0.24544814923104394
3069	even bush knows he fucked up .	even bush knows he made mistakes.	en				0.8854439854621887	0.9987903		0.11563286474894398
3080	fuck popeyes for doing this in the first place .	I strongly disapprove of Popeyes for doing this in the first place.	en				0.7217559218406677	0.9995468		0.5040450398844213
3091	getting my ass kicked by gre practice tests made sure that i never make this same mistake again .	being defeated by gre practice tests ensured that I never make the same mistake again.	en				0.9379087686538696	0.99951947		0.6200491151650008
3092	getting stronger every month yeah i fucking wish .	growing stronger every month, yeah I really wish.	en				0.921402633190155	0.99974304		0.6441313115595542
3102	have you ever been to r trees and seen all the shit people say weed can do ? .	have you ever been to r trees and seen all the negative comments people make about cannabis?	en				0.7854801416397095	0.9992867		0.6359180489216564
3122	holy shit , a cop got fired ? .	goodness gracious, a police officer was dismissed?	en				0.8233290314674377	0.99952674		0.15271796916533764
3131	how the fuck do you manage that ? .	how do you manage to do that?	en				0.8819683194160461	0.99962246		0.18445440137482028
