team_name,evaluation_type,total_samples,sta_mean,cs_mean,fs_mean,j_score_mean,sta_std,cs_std,fs_std,j_score_std,perfect_scores,zero_scores,file_path
Team cake,few_shot_openai,100,0.74,0.775,0.925,0.52125,0.3987353746407497,0.30463589792247125,0.17943514064131838,0.38190403826674113,32,23,llm_evolution/Team cake_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
Team_SINAI,few_shot_openai,100,0.715,0.545,0.765,0.2975,0.42196629670573876,0.3630329589623087,0.305298330665385,0.3346470325038553,12,45,llm_evolution/Team_SINAI_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
erehulka,few_shot_openai,100,0.61,0.605,0.69,0.2725,0.4118203001261103,0.34300366638203034,0.273215052012997,0.2737344617609474,6,35,llm_evolution/erehulka_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
ZhongyuLuo,few_shot_openai,100,0.685,0.535,0.69,0.27,0.4302630156384147,0.35,0.33166247903553997,0.3402316501408647,13,46,llm_evolution/ZhongyuLuo_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
Team Iron Autobots,few_shot_openai,100,0.715,0.5,0.71,0.265,0.403613726728961,0.36237153766973934,0.31123734812629233,0.29100574467584556,7,41,llm_evolution/Team Iron Autobots_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
Team NLPunks,few_shot_openai,100,0.585,0.59,0.79,0.2525,0.46086764900455957,0.31285585799020593,0.24802248187442913,0.30150087525209246,8,46,llm_evolution/Team NLPunks_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
SomethingAwful,few_shot_openai,100,0.63,0.615,0.695,0.25125,0.4300575484159009,0.39475730941090037,0.34739288735064533,0.304374150902099,8,48,llm_evolution/SomethingAwful_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
mkrisnai,few_shot_openai,100,0.465,0.75,0.875,0.2375,0.46739661526330717,0.337099931231621,0.2175970699446223,0.31407431726850377,8,56,llm_evolution/mkrisnai_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
gleb.shnshn,few_shot_openai,100,0.575,0.59,0.675,0.19875,0.45156853457049173,0.3436288813251996,0.30463589792247125,0.26358002924763063,5,49,llm_evolution/gleb.shnshn_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
VitalyProtasov,few_shot_openai,100,0.635,0.44,0.43,0.11125,0.43724920661662575,0.2589801287178363,0.3016788043766101,0.1442227076224108,0,57,llm_evolution/VitalyProtasov_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
mt5_baseline,few_shot_openai,100,0.375,0.625,0.455,0.11,0.44594129250792236,0.3435921354681384,0.35600902269805496,0.21780006585597877,3,70,llm_evolution/mt5_baseline_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
delete_baseline,few_shot_openai,100,0.595,0.475,0.445,0.11,0.4588908454968437,0.32856437033638547,0.3545875395897651,0.17791582392817232,1,65,llm_evolution/delete_baseline_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
nikita.sushko,few_shot_openai,100,0.65,0.44,0.405,0.10125,0.4351941398892446,0.31204765240863036,0.33101466292402676,0.16732351625192762,1,64,llm_evolution/nikita.sushko_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
Team nlp_enjoyers,few_shot_openai,100,0.4,0.605,0.38,0.0925,0.4494665749754947,0.357424852594955,0.37009417310962484,0.2158638974498103,3,77,llm_evolution/Team nlp_enjoyers_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
backtranslation_baseline,few_shot_openai,100,0.765,0.255,0.48,0.085,0.4048631144154051,0.2972517213719474,0.30084057323614194,0.17396882339991704,1,75,llm_evolution/backtranslation_baseline_zh/openai/etd_few_shot_results_zh_ZHPrompt_openai.csv
